field_id,yield,year,crop
1,41.0,2024,wheat
2,25.6,2024,wheat
3,31.9,2024,wheat
4,30.6,2024,wheat
5,43.4,2024,wheat
6,41.9,2024,wheat
7,47.3,2024,wheat
8,27.2,2024,wheat
9,35.5,2024,wheat
10,25.7,2024,wheat
11,30.5,2024,wheat
12,37.6,2024,wheat
13,25.7,2024,wheat
14,30.0,2024,wheat
15,41.2,2024,wheat
16,38.6,2024,wheat
17,30.5,2024,wheat
18,39.7,2024,wheat
19,45.2,2024,wheat
20,25.2,2024,wheat
21,45.1,2024,wheat
22,42.5,2024,wheat
23,33.5,2024,wheat
24,28.9,2024,wheat
25,48.9,2024,wheat
26,33.4,2024,wheat
27,27.3,2024,wheat
28,27.4,2024,wheat
29,46.2,2024,wheat
30,40.1,2024,wheat
31,45.2,2024,wheat
32,43.2,2024,wheat
33,38.4,2024,wheat
34,49.3,2024,wheat
35,34.5,2024,wheat
36,38.8,2024,wheat
37,45.7,2024,wheat
38,40.5,2024,wheat
39,46.5,2024,wheat
40,39.4,2024,wheat
41,42.6,2024,wheat
42,26.1,2024,wheat
43,30.7,2024,wheat
44,32.2,2024,wheat
45,27.0,2024,wheat
46,30.8,2024,wheat
47,27.5,2024,wheat
48,31.9,2024,wheat
49,40.9,2024,wheat
50,34.1,2024,wheat
51,34.3,2024,wheat
52,30.2,2024,wheat
53,31.7,2024,wheat
54,48.4,2024,wheat
55,41.2,2024,wheat
56,40.2,2024,wheat
57,29.3,2024,wheat
58,43.2,2024,wheat
59,29.1,2024,wheat
60,34.5,2024,wheat
61,49.7,2024,wheat
62,41.0,2024,wheat
63,38.9,2024,wheat
64,42.1,2024,wheat
65,46.1,2024,wheat
66,44.4,2024,wheat
67,30.7,2024,wheat
68,25.8,2024,wheat
69,32.9,2024,wheat
70,31.7,2024,wheat
71,30.3,2024,wheat
72,48.6,2024,wheat
73,46.9,2024,wheat
74,32.9,2024,wheat
75,41.4,2024,wheat
76,34.9,2024,wheat
77,47.9,2024,wheat
78,36.5,2024,wheat
79,31.6,2024,wheat
80,31.2,2024,wheat
81,39.0,2024,wheat
82,31.6,2024,wheat
83,39.6,2024,wheat
84,47.4,2024,wheat
85,35.0,2024,wheat
86,30.5,2024,wheat
87,49.9,2024,wheat
88,37.7,2024,wheat
89,27.3,2024,wheat
90,26.2,2024,wheat
91,27.7,2024,wheat
92,40.7,2024,wheat
93,44.8,2024,wheat
94,35.6,2024,wheat
95,26.6,2024,wheat
96,34.5,2024,wheat
97,49.9,2024,wheat
98,38.2,2024,wheat
99,49.3,2024,wheat
100,46.5,2024,wheat